Format,Players,Name,URL,Date,Status,Organization
Legacy,18,3º Black League - Legacy,"https://melee.gg/Tournament/View/409749",2026-03-08,Ended,Black League
Legacy,18,Mont Weekly Legacy,"https://melee.gg/Tournament/View/398541",2026-01-22,Ended,Mont CardShop
Legacy,18,Mont Weekly Legacy,"https://melee.gg/Tournament/View/399716",2026-01-29,Ended,Mont CardShop
Legacy,18,Mont Weekly Legacy,"https://melee.gg/Tournament/View/404810",2026-02-19,Ended,Mont CardShop
Legacy,17,1ª Etapa - 5ª Liga Legacy Jundiaí,"https://melee.gg/Tournament/View/397701",2026-02-08,Ended,Shinu Made
Legacy,17,ELM Qualifier -  Win a Savannah!,"https://melee.gg/Tournament/View/408125",2026-03-07,Ended,MTG Oslo Legacy
Legacy,17,Mont Weekly Legacy,"https://melee.gg/Tournament/View/400958",2026-02-05,Ended,Mont CardShop
Modern,202,Destination Qualifier Modern,"https://melee.gg/Tournament/View/399006",2026-02-01,Ended,Dungeon Street
Modern,150,$uper $unday RCQ - Modern - SCG CON Milwaukee - Sunday - 10:00 am,"https://melee.gg/Tournament/View/395229",2026-02-22,Ended,Star City Games
Modern,92,$uper $unday RCQ - Modern - SCG CON Portland - Sunday - 10:00 am,"https://melee.gg/Tournament/View/390011",2026-01-25,Ended,Star City Games
Modern,87,[Lyon Sun 09:30] Destination Qualifier: Modern,"https://melee.gg/Tournament/View/394577",2026-01-11,Ended,Fanfinity
Modern,84,ReCQ - Modern - SCG CON Milwaukee - Saturday - 4:00 pm,"https://melee.gg/Tournament/View/395232",2026-02-21,Ended,Star City Games
Modern,83,$1K Modern - SCG CON Milwaukee - Friday - 10:00 am,"https://melee.gg/Tournament/View/395278",2026-02-20,Ended,Star City Games
Modern,72,Рождественский турнир по модерну,"https://melee.gg/Tournament/View/392633",2026-01-10,Ended,Magic tournaments Russia
Modern,68,$uper $unday RCQ - Modern - SCG CON Richmond - Sunday - 10:00 am,"https://melee.gg/Tournament/View/402341",2026-03-08,Ended,Star City Games
Modern,64,$uper $unday RCQ - Modern - SCG CON Atlanta - Sunday - 10:00 am,"https://melee.gg/Tournament/View/387526",2026-01-11,Ended,Star City Games
Modern,58,ReCQ - Modern - SCG CON Milwaukee - Saturday - 12:00 pm,"https://melee.gg/Tournament/View/395230",2026-02-21,Ended,Star City Games
Modern,56,ReCQ - Modern - SCG CON Portland - Saturday - 1:00 pm,"https://melee.gg/Tournament/View/390015",2026-01-24,Ended,Star City Games
Modern,55,ReCQ - Modern - SCG CON Milwaukee - Saturday - 2:00 pm,"https://melee.gg/Tournament/View/395231",2026-02-21,Ended,Star City Games
Modern,48,ReCQ - Modern - SCG CON Portland - Saturday - 3:00 pm,"https://melee.gg/Tournament/View/390016",2026-01-24,Ended,Star City Games
Modern,43,ReCQ - Modern - SCG CON Atlanta - Friday - 1:00 pm,"https://melee.gg/Tournament/View/387510",2026-01-09,Ended,Star City Games
Modern,42,ReCQ - Modern - SCG CON Richmond - Friday - 1:00 pm,"https://melee.gg/Tournament/View/402357",2026-03-06,Ended,Star City Games
Modern,40,ReCQ - Modern - SCG CON Richmond - Saturday - 12:00 pm,"https://melee.gg/Tournament/View/402362",2026-03-07,Ended,Star City Games
Modern,34,ReCQ - Modern - SCG CON Atlanta - Saturday - 12:00 pm,"https://melee.gg/Tournament/View/387511",2026-01-10,Ended,Star City Games
Premodern,31,PRE MODERN ROAD TO NACIONAL,"https://melee.gg/Tournament/View/401145",2026-02-07,Ended,Mulligan.Games
Modern,29,Sooner Sorcerer State Championship '26,"https://melee.gg/Tournament/View/388219",2026-02-28,Ended,Game HQ
Modern,26,4º Torneio - 14ª Liga Arena Guardians ,"https://melee.gg/Tournament/View/393710",2026-01-05,Ended,Arena Guardians Tournaments
Modern,26,5º Torneio - 14ª Liga Arena Guardians ,"https://melee.gg/Tournament/View/397299",2026-01-19,Ended,Arena Guardians Tournaments
Modern,26,ReCQ - Modern - SCG CON Atlanta - Saturday - 2:00 pm,"https://melee.gg/Tournament/View/387514",2026-01-10,Ended,Star City Games
